articleID:ID(Article)	title
1	Three questions of Bertram on locally maximal sum-free sets.
2	On the Cipolla-Lehmer type algorithms in finite fields.
3	Quantum codes from cyclic codes over the ring 𝔽q + v1𝔽q + ⋯ + vr 𝔽q.
4	Computing with D-algebraic power series.
5	On the near prime-order MNT curves.
6	Several classes of binary linear codes and their weight enumerators.
7	Orthogonal matrix and its application in Bloom&apos;s threshold scheme.
8	Several classes of linear codes and their weight distributions.
9	Two classes of optimal frequency-hopping sequences with new parameters.
10	Four families of minimal binary linear codes with wmin/wmax ≤ 1/2.
11	Directed path spaces via discrete vector fields.
12	A Non-Intrusive Heuristic for Energy Messaging Intervention Modeled Using a Novel Agent-Based Approach.
13	Low-Order Space Harmonic Modeling of Asymmetrical Six-Phase Induction Machines.
14	RFI Cancellation for an Array Radio Astronomy System With Receiver Nonlinearity.
15	Performance Analysis of MICS-Based RF Wireless Power Transfer System for Implantable Medical Devices.
16	Fog Load Balancing for Massive Machine Type Communications - A Game and Transport Theoretic Approach.
17	Discrete-Time Adaptive Control for Systems With Input Time-Delay and Non-Sector Bounded Nonlinear Functions.
18	Using Beamforming for Dense Frequency Reuse in 5G.
19	Gale-Shapley Matching Game Selection - A Framework for User Satisfaction.
20	A Survey on Mobile Crowd-Sensing and Its Applications in the IoT Era.
21	Improved Dynamic Multi-Party Quantum Private Comparison for Next-Generation Mobile Network.
22	Native Language Identification in Very Short Utterances Using Bidirectional Long Short-Term Memory Network.
23	A Multivariate Homogeneously Weighted Moving Average Control Chart.
24	Internet of Things - A Comprehensive Study of Security Issues and Defense Mechanisms.
25	State-of-the-Art Clustering Schemes in Mobile Ad Hoc Networks - Objectives, Challenges, and Future Directions.
26	State-of-Art in Nano-Based Dielectric Oil - A Review.
27	State-of-Charge Balancing Control for ON/OFF-Line Internal Cells Using Hybrid Modular Multi-Level Converter and Parallel Modular Dual L-Bridge in a Grid-Scale Battery Energy Storage System.
28	Aspects of Quality in Internet of Things (IoT) Solutions - A Systematic Mapping Study.
29	Primitive Polynomials for Iterative Recursive Soft Sequential Acquisition of Concatenated Sequences.
30	Incision Sensor Using Conductive Tape for Cricothyrotomy Training Simulation With Quantitative Feedback.
31	Improving Urdu Recognition Using Character-Based Artistic Features of Nastalique Calligraphy.
32	Lightweight and Low-Loss 3-D Printed Millimeter-Wave Bandpass Filter Based on Gap-Waveguide.
33	Spectrum Sharing in Multi-Tenant 5G Cellular Networks - Modeling and Planning.
34	Secrecy Performance of Decode-and-Forward Based Hybrid RF/VLC Relaying Systems.
35	Comprehensive Review of the Development of the Harmony Search Algorithm and its Applications.
36	A Model of Factors Affecting Cyber Bullying Behaviors Among University Students.
37	Reliable Middleware for Wireless Sensor-Actuator Networks.
38	Network Experience Scheduling and Routing Approach for Big Data Transmission in the Internet of Things.
39	Finite-Time Lag Synchronization of Uncertain Complex Dynamical Networks With Disturbances via Sliding Mode Control.
40	Credibility in Online Social Networks - A Survey.
41	Data-Driven Dynamic Active Node Selection for Event Localization in IoT Applications - A Case Study of Radiation Localization.
42	Efficient Face Recognition Using Regularized Adaptive Non-Local Sparse Coding.
43	Hybrid Stochastic Exploration Using Grey Wolf Optimizer and Coordinated Multi-Robot Exploration Algorithms.
44	Group L1/2 Regularization for Pruning Hidden Layer Nodes of Feedforward Neural Networks.
45	Analytical Approach of Director Tilting in Nematic Liquid Crystals for Electronically Tunable Devices.
46	Queuing Delay Model for Video Transmission Over Multi-Channel Underwater Wireless Optical Networks.
47	A New Frequency Control Strategy in an Islanded Microgrid Using Virtual Inertia Control-Based Coefficient Diagram Method.
48	Deep Reinforcement Learning Paradigm for Performance Optimization of Channel Observation-Based MAC Protocols in Dense WLANs.
49	A Novel Nested Q-Learning Method to Tackle Time-Constrained Competitive Influence Maximization.
50	Motion Artifact Detection and Reduction in Bed-Based Ballistocardiogram.
51	Smart Information Retrieval - Domain Knowledge Centric Optimization Approach.
52	Evolutionary Deep Learning-Based Energy Consumption Prediction for Buildings.
53	Arabic Word Segmentation With Long Short-Term Memory Neural Networks and Word Embedding.
54	Exact Coupling Method for Stratonovich Stochastic Differential Equation Using Non-Degeneracy for the Diffusion.
55	A Survey of Super-Resolution in Iris Biometrics With Evaluation of Dictionary-Learning.
56	On the Development of a Novel Mixed Embroidered-Woven Slot Antenna for Wireless Applications.
