name:ID(Author)
Jong-Tae Park
Mohammad Jalil Piran
Giampaolo Carli
S. Parasuraman
Carl Yuheng Ren
Huiling Shi
Zhenni Li
Luis García de Vicuña
Miguel Poveda-Garcia
Hamid Abdi
Andrea Mariello
Chen Lu
Ying Shen
Naeem Jan
João Marcos Alcoforado Rebello
Riste Skrekovski
Israa T. Aziz
Montserrat Corbalan
Changqing Zou
Longsheng Wu
Fang Duan
Zhenyan Zhang
Jianmei Guo
Qiao Sun
S. Elango
Andreas Rauh
Mohammad A. Masadeh
Qingwen Liu
Peter Vamplew
Yeqing Yang
Carlisle Adams
Dao Zhou
Youbo Liu
Jeffrey H. Lang
Adrien Ugon
Stefan Voß
Manuela M. Veloso
Eleazar Samuel Kolosovas-Machuca
Blas-Pablo Dorta-Naranjo
Majid Sanatkar-Chayjani
Orawon Chailapakul
Yuwei Chen
Arnau Erola
Nguyen-Ha Vu
Shuai Wan
Kae Won Choi
Lijun Zhang 0007
Georg Pelzer
Katerina Asimogloy
Daniela Yabe
Michel Basset
Jumana Abu-Khalaf
Wenjun Xu
Lars Lindner
Ephrem Chemali
Hlaing Minn
Rohollah Abdollahi
Minju Lee
Kai Yin
Zhongcheng Li
Yun Lv
Alejandro Paredes Camacho
Ken-Ichi Suzuki
Ana Bertha Rios-Alvarado
Jixin Liu
Srdjan Kostic
Svetlana Peltsverger
Peter H. Veltink
Stelios Timotheou
Joonyoung Cho
Tianfeng Shen
Siddharth Savadatti
Quanhua Guan
Mengru Xue
Liangcai Shu
Huaikou Miao
Zhongshan Zhang
Sudhakar Ganti
Anastasios Economou
Xuhui He
Daisuke Arai
Mohammad J. Abdekhodaie
Mojtaba Fardi
Abdulhameed Alelaiwi
Zhiqiang Sun
Zhi Liu 0003
Dario J. Villarreal
He Tang
Yingwei Jin
Shuo Chen
José Maria Muñoz-Ferreras
Santu Bag
Yoshiyuki Hata
Yisheng Zhong
Ryan M. Hill
Kyung-Geun Lee
Weichao Chai
Chulhun Seo
Daniel Orth
Kun An
Giancarlo Valentin
Xiaojie Sun
Su-Dan Huang
Ziyue Guo
Enrique Maset
Gijs Huisman
Luis Elvira
Daichang Fu
Jesús Angulo
María Hernández
Hong Xiao
Rohit Krishna
Hao Wang
Xiaoning Jiang
Syed Zeeshan Ali
Haibo Gu
Tao Li 0012
Xiujun Cheng
Zuohong Xu
Wanting Rong
Mohammed Balfaqih
Paul A. Dolloff
Nicola D&apos;Ascenzo
Vânia Paula de Almeida Néris
Dung T. Nguyen
Smilen Dimitrov
Adamu Murtala Zungeru
K. Sridharan
Naman Kohli
Matthew Crosby
Jacques Bou Abdo
Mahadi Hassan
Yaxiong Wang
Chih-Wei Huang
Cong Wang 0001
Micael P. Xavier
Ross Smith
Luis Antonio Rivera Alvarado
Chenyu Li
Sangjun Moon
Sangbong Lee
K. Gopakumar
Anthi-Eirini K. Vozinaki
Shu-Qian Shen
Tiantian Sheng
Ming Diao
Shengchen Wu
Nirwan Ansari
Gerard Parr
Mehmet Aydin Baytas
Muhammad Zaka ur Rehman
Nhi M. Doan
Jan Brandts
Rafal Kocierz
Manuchehr Soleimani
María Julia Arcos-Martínez
Jun-Juan Zhao
Kai-Hui Chang
Aristides Docoslis
Daniele Sgandurra
Chris Greenhalgh
Anastasia S. Zakharchenko
Fredrik Rusek
Huihong Cai
Valentina Agostini
Björn W. Schuller
Eugen Wallmeier
Liang Xi Pang
Danlin Jia
Zhiyuan Shi
Tizian Evers
Tony C. Pan
Symon K. Podilchak
Guillermo J. Rubio-Astorga
Francesca Rapetti
Hilary Davis
Yangqi Huang
Giovana Cover
Zafar Abas
Woosub Youm
Panagiotis D. Bamidis
Ildiko Peter
Yun-Te Lin
Ramesh Chembil Palat
Jian Zhang 0028
David Z. Pan
Rafael Marín López
José García
Jun Yu 0002
Sungkwan Ku
Chun T. Rim
Ardelio Galletti
Panagiotis Lazari
Mo Adda
Cristina Martin
Wen-Long Chin
Chandu Herath
Seiki Tokunaga
Colin Neil Jones
Liukui Chen
Yuanchao Shu
Fernando Maestú
Xin Zhu
Zhengzhe Xiang
Giovanny Mauricio Tarazona Bermúdez
José Machado 0002
Zhe Chen 0002
Jagadeesh Kakarla
Ádám Deák
Adam J. Webb
Brahim Chaib-draa
Ankang Ju
Enrique Noé
Lei Qiu 0001
Rui Neves Madeira
Baidong Yao
Giacomo Benassi
Jakub Cegan
