:START_ID(Article)	:END_ID(Article)
6649	8529
16703	16440
18382	19082
12653	11076
3934	9124
842	2430
7098	16976
2050	11799
16014	17978
1724	16238
4802	11304
5956	18585
11249	10499
17275	10282
18736	19612
6698	7560
8080	10967
3951	18578
4191	18203
9150	8923
5113	5783
18190	18480
19201	19840
5792	8133
19792	19833
15066	16358
14949	16885
2378	4033
9662	10813
11520	12506
214	9821
18239	19916
7995	11269
19751	19086
52	2746
10413	17071
18588	19905
15776	7290
16290	10869
16304	11394
5051	17563
12359	17583
1648	17119
16131	9017
3551	17802
11560	12121
16429	11955
1741	18587
16885	10801
18650	18088
11088	17130
10662	17837
3960	18731
8806	12685
185	5027
15592	7639
19114	19938
9249	16618
13947	4200
941	8468
5629	18830
7717	19782
12332	17856
18324	19274
5293	19824
7570	9200
2461	6574
15793	17875
2756	9579
3740	9242
4100	18473
8579	11631
3486	8365
1966	2581
7771	11600
1662	19008
17644	9676
14119	5856
12882	12740
4282	4427
9735	11073
16073	10264
3466	1746
15772	7176
15031	4062
1165	2781
9209	8560
19884	19820
4103	15413
9262	16307
16863	18055
17644	10779
2900	4065
2909	18909
16203	19150
16119	11491
9650	17935
18283	19821
8995	17521
9921	19438
10611	18867
15366	11354
11951	17134
13413	5595
10550	18966
8233	8260
16878	18043
14530	19614
15773	8688
2885	11707
9523	16053
10904	19647
6568	8768
6643	4429
16553	17588
8093	7171
17995	18546
5848	9832
6804	4035
8850	10975
9984	17284
10835	17566
3652	1602
13671	2148
11321	10411
5430	19274
6299	8644
6387	10834
7968	18853
12555	18555
13364	1910
14897	6919
19168	19925
1452	15405
7279	8612
7758	7300
15110	4886
5810	12445
2111	7720
12624	11039
11809	11627
1075	9756
12965	16092
14113	10084
12238	18368
14124	18542
8440	16555
17093	12929
448	8773
15013	18003
17876	18265
501	1481
12271	19322
15289	17854
15848	16824
13975	6609
5708	6726
14146	8372
19164	19837
11888	19468
14588	6341
14327	19309
8457	9495
12168	10087
13954	5081
8148	10470
13828	201
18995	19774
15823	12619
15067	19846
15169	9019
11559	17854
501	17563
2698	14857
16027	16458
7033	17184
13986	12942
9729	9885
16952	19493
4081	18603
1070	14284
7443	8177
5350	19841
18247	19681
9768	19111
16881	7750
16591	19484
17230	12744
4848	9122
17224	9868
3690	2362
16570	11278
7034	12443
18219	18147
6177	5709
8550	10493
18957	19619
404	15883
5581	19028
8306	11965
16157	12181
9465	12633
14284	9548
16010	9594
14102	17956
12630	17236
3072	18839
5234	10134
13877	7671
14796	6309
9316	19601
12521	12589
11597	9863
6243	16656
5939	17141
13839	4890
8323	11710
11739	9816
9504	8758
16561	17249
6946	6476
8845	11187
8652	16390
11877	10356
4029	9141
2600	18024
10812	10482
3751	1317
17333	16947
3734	1693
6524	7928
1512	4607
19372	19928
12603	19469
19600	19671
7856	12853
9819	10000
4409	16162
10895	9917
448	15027
6504	8278
1367	5388
1354	4793
8354	11896
13812	11097
1353	5198
17583	12071
15190	6386
12347	19321
9390	18673
4932	7948
9658	12639
11985	17744
17046	16988
13987	15733
15228	15000
19892	19486
14744	2686
13939	4098
8228	7859
1361	17693
2975	5797
8776	10032
10991	18813
17670	10467
14255	5324
3218	2994
3917	17440
2079	4934
7890	9744
3016	19521
19352	19715
12372	11267
4381	8498
6285	11643
16810	10928
4491	15275
12234	17726
7530	10447
6918	19236
14056	19510
11366	10446
15242	17815
3551	1110
19071	19462
18327	18979
17411	10949
15225	9072
19521	19335
12213	17767
7659	11150
11223	18593
8228	12236
11680	11526
10572	10617
1629	4482
12264	18987
806	3909
12661	19479
5155	18954
3609	12630
5487	6911
7280	7714
206	14833
16282	7334
18531	18336
2020	8816
10416	11477
12321	10014
15747	12358
9047	19162
5945	8749
10467	19258
14323	2221
5488	4593
13426	6958
4356	8383
10452	11325
