:START_ID(Article)	:END_ID(Keyword)
18019	Real time
4158	IOT
10347	Real time
17254	Classification
19617	Sensors
18477	Databases
18825	Connection
1448	Data modeling
8090	Semantic data
671	Databases
12739	Authentication
17171	Authentication
8070	AI
19642	Protocols
13450	Real time
5674	Machine Learning
18480	Streams
16663	Quantum
12194	Clustering
6349	IOT
18255	Connection
6248	Entanglement
13591	Connection
4910	Protocols
5521	Big data
16870	IOT
17202	Big data
591	Cancer
3247	Data storage
677	Streams
905	Real time
7652	QBit
9107	Tokens
13982	Connection
14674	Real time
8313	Cancer
18180	QBit
10249	DNA
16955	Machine Learning
6063	Bioinformatics
15273	Physics
14646	Semantic data
10174	Cybersecurity
1630	Deep Learning
3948	Data modeling
15040	Classification
8964	Machine Learning
13236	Entanglement
6887	Bioinformatics
8312	Semantic data
15268	Big data
9119	AI
18381	Semantic data
19067	Encryption
10584	Streams
16820	Entanglement
9933	Encryption
9235	Data storage
18817	Genetic programming
12361	Databases
4686	Cybersecurity
3606	Databases
5545	Genetic programming
15690	Protocols
15024	Bioinformatics
15560	Deep Learning
9935	Deep Learning
15589	Protocols
17962	AI
14088	Cybersecurity
19244	Streams
6144	Bioinformatics
13634	Clustering
8435	AI
15496	Bioinformatics
19431	Classification
13702	Connection
6834	Authentication
15700	Entanglement
7138	Quantum
15450	Physics
12586	Big data
11472	Encryption
1665	Classification
4912	Machine Learning
5548	Machine Learning
13509	Quantum
6911	Classification
8906	Genetic programming
6369	QBit
15562	Connection
8597	Data storage
917	QBit
6787	Combinatorics
15599	Cancer
12992	Deep Learning
10200	Combinatorics
9003	Biology
6380	QBit
11359	Combinatorics
12077	IOT
2485	Quantum
1424	Genetic programming
16156	Protocols
7993	Genetic programming
7876	Data modeling
9761	Data storage
5532	Data modeling
10522	Bioinformatics
11834	Physics
879	Clustering
6914	Quantum
14026	Big data
10978	Bioinformatics
14423	Entanglement
19470	Entanglement
5143	Physics
6970	Databases
10118	Databases
11010	Quantum
16856	Streams
411	Big data
5567	Cybersecurity
10674	Machine Learning
15137	Cancer
6453	Cancer
5692	Biology
9452	Combinatorics
10793	Data storage
16060	Real time
17820	Physics
4463	QBit
9030	Connection
2457	Connection
5143	Combinatorics
8998	Biology
9776	Entanglement
999	Biology
14555	Physics
8430	Clustering
1021	Sensors
16137	Real time
15552	Biology
4686	Tokens
2432	Classification
9045	IOT
10509	DNA
8664	Clustering
10199	Entanglement
71	Tokens
13520	Sensors
12413	Clustering
17836	IOT
11012	Connection
2170	Real time
3844	Databases
7045	Real time
11656	Cancer
14598	Protocols
16616	Deep Learning
11956	Tokens
18063	Tokens
19463	AI
6824	Deep Learning
6330	Cybersecurity
11435	Sensors
9997	Connection
8325	Sensors
16614	Machine Learning
18694	IOT
4609	Authentication
10785	Cybersecurity
18077	Data modeling
12626	Data modeling
14985	Cybersecurity
8575	Deep Learning
9356	Bioinformatics
10117	Physics
17897	Cybersecurity
1339	QBit
9473	Entanglement
6102	Authentication
7524	Cancer
11854	QBit
592	Tokens
8846	Semantic data
12689	Entanglement
19733	Entanglement
14233	Semantic data
16673	Biology
9814	Combinatorics
13032	Cancer
11032	Cancer
15568	Data storage
5236	IOT
15928	Entanglement
17116	DNA
4997	Entanglement
1761	Data modeling
3490	Physics
2276	Protocols
6010	Databases
14843	Combinatorics
13197	Semantic data
7092	Protocols
3435	Protocols
7841	Cancer
3698	Databases
3401	Semantic data
8500	Biology
3346	Deep Learning
10796	AI
14891	DNA
4246	Genetic programming
3621	Data modeling
4958	Protocols
12414	Bioinformatics
19112	Quantum
13163	Sensors
17636	QBit
17930	Combinatorics
13205	Cybersecurity
