:START_ID(Volume)	:END_ID(Year)
IEEE Trans. Med. Imaging|34	2015
Applied Mathematics and Computation|254	2015
IEEE Trans. Multimedia|17	2015
IEEE Trans. Information Forensics and Security|10	2015
Appl. Algebra Eng. Commun. Comput.|28	2017
IEEE Trans. Aerospace and Electronic Systems|51	2015
IEEE Access|4	2016
IEEE Trans. Signal Processing|63	2015
Sensors|17	2017
IEEE Trans. VLSI Syst.|23	2015
Appl. Algebra Eng. Commun. Comput.|30	2019
Applied Mathematics and Computation|258	2015
IEEE Trans. Knowl. Data Eng.|27	2015
Applied Mathematics and Computation|251	2015
Sensors|18	2018
IEEE Trans. Industrial Electronics|62	2015
Applied Mathematics and Computation|256	2015
IEEE Signal Process. Lett.|22	2015
IEEE Trans. Human-Machine Systems|45	2015
IEEE Trans. Comput. Social Systems|2	2015
IEEE Access|3	2015
IEEE Trans. Mob. Comput.|14	2015
IEEE/ACM Trans. Netw.|23	2015
Wireless Communications and Mobile Computing|15	2015
IEEE Trans. Industrial Electronics|63	2016
IEEE Access|5	2017
IEEE Trans. Circuits Syst. Video Techn.|25	2015
IEEE Trans. Network and Service Management|12	2015
IEEE Trans. Wireless Communications|14	2015
Applied Mathematics and Computation|269	2015
IEEE Trans. Industrial Informatics|11	2015
Comput. J.|58	2015
IEEE Trans. Vehicular Technology|64	2015
Applied Mathematics and Computation|263	2015
IEEE Trans. Industrial Electronics|65	2018
IEEE Wireless Commun.|22	2015
IEEE Systems Journal|9	2015
Wireless Networks|21	2015
IEEE Trans. Emerging Topics Comput.|3	2015
IEEE Trans. Communications|63	2015
IET Communications|9	2015
Applied Mathematics and Computation|265	2015
IEEE Trans. Parallel Distrib. Syst.|26	2015
Appl. Algebra Eng. Commun. Comput.|29	2018
IEEE Trans. Dependable Sec. Comput.|12	2015
Applied Mathematics and Computation|255	2015
IET Information Security|9	2015
IEEE Computer|48	2015
IEEE Journal on Selected Areas in Communications|33	2015
IEEE Trans. Systems, Man, and Cybernetics - Systems|45	2015
IEEE Network|29	2015
IEEE Communications Surveys and Tutorials|17	2015
Applied Mathematics and Computation|267	2015
IEEE Trans. Image Processing|24	2015
IEEE Access|6	2018
IEEE Signal Process. Mag.|32	2015
Sensors|16	2016
IEEE Trans. Cogn. Comm. &amp; Networking|1	2015
IEEE Trans. Intelligent Transportation Systems|16	2015
Sensors|15	2015
IEEE Trans. Consumer Electronics|61	2015
IEEE Trans. on CAD of Integrated Circuits and Systems|34	2015
Applied Mathematics and Computation|266	2015
Applied Mathematics and Computation|268	2015
IEEE Trans. on Circuits and Systems|62-II	2015
IEEE Communications Letters|19	2015
Applied Mathematics and Computation|271	2015
IEEE Communications Magazine|53	2015
IEEE Consumer Electronics Magazine|4	2015
IEEE/ACM Trans. Comput. Biology Bioinform.|12	2015
IEEE Trans. Computers|64	2015
IEEE Access|7	2019
Applied Mathematics and Computation|261	2015
Applied Mathematics and Computation|252	2015
Applied Mathematics and Computation|257	2015
Applied Mathematics and Computation|253	2015
IEEE Trans. Information Theory|61	2015
Appl. Algebra Eng. Commun. Comput.|27	2016
IEEE Internet of Things Journal|2	2015
J. Network and Computer Applications|50	2015
IEEE Trans. Multi-Scale Computing Systems|1	2015
IEEE Pervasive Computing|14	2015
Applied Mathematics and Computation|250	2015
IEEE Trans. Industrial Electronics|64	2017
IEEE Wireless Commun. Letters|4	2015
IEEE Trans. Services Computing|8	2015
IEEE Internet Computing|19	2015
Applied Mathematics and Computation|264	2015
Applied Mathematics and Computation|259	2015
Applied Mathematics and Computation|270	2015
IEEE Cloud Computing|2	2015
Applied Mathematics and Computation|260	2015
IEEE Trans. Automation Science and Engineering|12	2015
Applied Mathematics and Computation|262	2015
