:START_ID(Edition)	pages	:END_ID(Article)
aaai1	1-11	12945
aaai1	1-11	12946
aaai1	1-11	12947
aaai1	1-11	12948
aaai1	1-11	12949
aaai1	1-11	12950
aaai1	1-11	12951
aaai1	1-11	12952
aaai1	1-11	12953
aaai1	1-11	12954
aaai1	1-11	12955
aaai1	1-11	12956
aaai1	1-11	12957
aaai1	1-11	12958
aaai1	1-11	12959
aaai1	1-11	12960
aaai1	1-11	12961
aaai1	1-11	12962
aaai1	1-11	12963
aaai1	1-11	12964
aaai1	1-11	12965
aaai1	1-11	12966
aaai1	1-11	12967
aaai1	1-11	12968
aaai1	1-11	12969
aaai1	1-11	12970
aaai1	1-11	12971
aaai1	1-11	12972
aaai1	1-11	12973
aaai1	1-11	12974
aaai1	1-11	12975
aaai1	1-11	12976
aaai1	1-11	12977
aaaiss1	1-11	12978
aaaiss1	1-11	12979
aaaiss1	1-11	12980
aaaiss1	1-11	12981
aaaiss1	1-11	12982
aaaiss1	1-11	12983
aaaiss1	1-11	12984
aaaiss1	1-11	12985
aaaiss1	1-11	12986
aaaiss1	1-11	12987
aaaiss1	1-11	12988
aaaiss1	1-11	12989
aaaiss1	1-11	12990
aaaiss1	1-11	12991
aaaiss1	1-11	12992
aaaiss1	1-11	12993
aaaiss1	1-11	12994
aaaiss1	1-11	12995
aaaiss1	1-11	12996
aaaiss1	1-11	12997
aaaiss1	1-11	12998
aaaiss1	1-11	12999
aaaiss1	1-11	13000
aaaiss1	1-11	13001
aaaiss1	1-11	13002
aaaiss1	1-11	13003
aaaiss1	1-11	13004
aaaiss1	1-11	13005
aaaiss1	1-11	13006
aaaiss1	1-11	13007
aaaiss1	1-11	13008
aaaiss1	1-11	13009
aaaiss1	1-11	13010
aaaiss1	1-11	13011
aaaiss1	1-11	13012
aaaiss1	1-11	13013
aaaiss1	1-11	13014
aaaiss1	1-11	13015
ace1	1-11	13016
ace1	1-11	13017
ace1	1-11	13018
ace1	1-11	13019
ace1	1-11	13020
ace1	1-11	13021
ace1	1-11	13022
ace1	1-11	13023
ace1	1-11	13024
ace1	1-11	13025
ace1	1-11	13026
ace1	1-11	13027
ace1	1-11	13028
ace1	1-11	13029
ace1	1-11	13030
acsw1	1-11	13031
acsw1	1-11	13032
acsw1	1-11	13033
acsw1	1-11	13034
acsw1	1-11	13035
acsw1	1-11	13036
acsw1	1-11	13037
acsw1	1-11	13038
acsw1	1-11	13039
acsw1	1-11	13040
acsw1	1-11	13041
acsw1	1-11	13042
acsw1	1-11	13043
acsw1	1-11	13044
acsw1	1-11	13045
acsw1	1-11	13046
acsw1	1-11	13047
acsw1	1-11	13048
acsw1	1-11	13049
acsw1	1-11	13050
acsw1	1-11	13051
acsw1	1-11	13052
acsw1	1-11	13053
acsw1	1-11	13054
acsw1	1-11	13055
acsw1	1-11	13056
acsw1	1-11	13057
acsw1	1-11	13058
acsw1	1-11	13059
acsw1	1-11	13060
acsw1	1-11	13061
acsw1	1-11	13062
acsw1	1-11	13063
acsw1	1-11	13064
acsw1	1-11	13065
acsw1	1-11	13066
acsw1	1-11	13067
acsw1	1-11	13068
acsw1	1-11	13069
acsw1	1-11	13070
acsw1	1-11	13071
acsw1	1-11	13072
acsw1	1-11	13073
acsw1	1-11	13074
acsw1	1-11	13075
acsw1	1-11	13076
acsw1	1-11	13077
acsw1	1-11	13078
acsw1	1-11	13079
acsw1	1-11	13080
acsw1	1-11	13081
acsw1	1-11	13082
acsw1	1-11	13083
acsw1	1-11	13084
acsw1	1-11	13085
acsw1	1-11	13086
acsw1	1-11	13087
alenex1	1-11	13088
alenex1	1-11	13089
alenex1	1-11	13090
alenex1	1-11	13091
alenex1	1-11	13092
alenex1	1-11	13093
alenex1	1-11	13094
alenex1	1-11	13095
alenex1	1-11	13096
alenex1	1-11	13097
alenex1	1-11	13098
alenex1	1-11	13099
alenex1	1-11	13100
alenex1	1-11	13101
alenex1	1-11	13102
alenex1	1-11	13103
alenex1	1-11	13104
analco1	1-11	13105
analco1	1-11	13106
analco1	1-11	13107
analco1	1-11	13108
analco1	1-11	13109
analco1	1-11	13110
analco1	1-11	13111
analco1	1-11	13112
analco1	1-11	13113
analco1	1-11	13114
analco1	1-11	13115
analco1	1-11	13116
analco1	1-11	13117
analco1	1-11	13118
aspdac1	1-11	13119
aspdac1	1-11	13120
aspdac1	1-11	13121
aspdac1	1-11	13122
aspdac1	1-11	13123
aspdac1	1-11	13124
aspdac1	1-11	13125
aspdac1	1-11	13126
aspdac1	1-11	13127
aspdac1	1-11	13128
aspdac1	1-11	13129
aspdac1	1-11	13130
aspdac1	1-11	13131
aspdac1	1-11	13132
aspdac1	1-11	13133
aspdac1	1-11	13134
aspdac1	1-11	13135
aspdac1	1-11	13136
aspdac1	1-11	13137
aspdac1	1-11	13138
aspdac1	1-11	13139
aspdac1	1-11	13140
aspdac1	1-11	13141
aspdac1	1-11	13142
aspdac1	1-11	13143
aspdac1	1-11	13144
aspdac1	1-11	13145
aspdac1	1-11	13146
aspdac1	1-11	13147
aspdac1	1-11	13148
aspdac1	1-11	13149
aspdac1	1-11	13150
aspdac1	1-11	13151
aspdac1	1-11	13152
aspdac1	1-11	13153
aspdac1	1-11	13154
aspdac1	1-11	13155
aspdac1	1-11	13156
aspdac1	1-11	13157
aspdac1	1-11	13158
aspdac1	1-11	13159
aspdac1	1-11	13160
aspdac1	1-11	13161
aspdac1	1-11	13162
aspdac1	1-11	13163
aspdac1	1-11	13164
aspdac1	1-11	13165
aspdac1	1-11	13166
aspdac1	1-11	13167
aspdac1	1-11	13168
aspdac1	1-11	13169
aspdac1	1-11	13170
aspdac1	1-11	13171
aspdac1	1-11	13172
aspdac1	1-11	13173
aspdac1	1-11	13174
aspdac1	1-11	13175
aspdac1	1-11	13176
aspdac1	1-11	13177
aspdac1	1-11	13178
aspdac1	1-11	13179
aspdac1	1-11	13180
aspdac1	1-11	13181
aspdac1	1-11	13182
aspdac1	1-11	13183
aspdac1	1-11	13184
aspdac1	1-11	13185
aspdac1	1-11	13186
aspdac1	1-11	13187
aspdac1	1-11	13188
aspdac1	1-11	13189
aspdac1	1-11	13190
aspdac1	1-11	13191
aspdac1	1-11	13192
aspdac1	1-11	13193
aspdac1	1-11	13194
aspdac1	1-11	13195
aspdac1	1-11	13196
aspdac1	1-11	13197
aspdac1	1-11	13198
aspdac1	1-11	13199
aspdac1	1-11	13200
aspdac1	1-11	13201
aspdac1	1-11	13202
aspdac1	1-11	13203
aspdac1	1-11	13204
aspdac1	1-11	13205
aspdac1	1-11	13206
aspdac1	1-11	13207
aspdac1	1-11	13208
aspdac1	1-11	13209
aspdac1	1-11	13210
aspdac1	1-11	13211
aspdac1	1-11	13212
aspdac1	1-11	13213
aspdac1	1-11	13214
aspdac1	1-11	13215
aspdac1	1-11	13216
aspdac1	1-11	13217
aspdac1	1-11	13218
aspdac1	1-11	13219
aspdac1	1-11	13220
aspdac1	1-11	13221
aspdac1	1-11	13222
aspdac1	1-11	13223
aspdac1	1-11	13224
aspdac1	1-11	13225
aspdac1	1-11	13226
