:START_ID(Journal)	year	:END_ID(Volume)
IEEE Trans. Circuits Syst. Video Techn.	2015	IEEE Trans. Circuits Syst. Video Techn.|25
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|267
Sensors	2016	Sensors|16
IEEE Trans. on CAD of Integrated Circuits and Systems	2015	IEEE Trans. on CAD of Integrated Circuits and Systems|34
IEEE Trans. Information Forensics and Security	2015	IEEE Trans. Information Forensics and Security|10
IEEE Signal Process. Lett.	2015	IEEE Signal Process. Lett.|22
IEEE Trans. Network and Service Management	2015	IEEE Trans. Network and Service Management|12
Sensors	2018	Sensors|18
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|256
IEEE Consumer Electronics Magazine	2015	IEEE Consumer Electronics Magazine|4
IEEE Trans. Human-Machine Systems	2015	IEEE Trans. Human-Machine Systems|45
IEEE Trans. Comput. Social Systems	2015	IEEE Trans. Comput. Social Systems|2
Appl. Algebra Eng. Commun. Comput.	2018	Appl. Algebra Eng. Commun. Comput.|29
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|252
IET Communications	2015	IET Communications|9
IEEE Trans. Cogn. Comm. &amp; Networking	2015	IEEE Trans. Cogn. Comm. &amp; Networking|1
IEEE Access	2019	IEEE Access|7
IEEE Trans. Emerging Topics Comput.	2015	IEEE Trans. Emerging Topics Comput.|3
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|251
Sensors	2017	Sensors|17
IEEE Trans. Industrial Electronics	2015	IEEE Trans. Industrial Electronics|62
IEEE Trans. Computers	2015	IEEE Trans. Computers|64
IEEE Trans. Image Processing	2015	IEEE Trans. Image Processing|24
IEEE Trans. on Circuits and Systems	2015	IEEE Trans. on Circuits and Systems|62-II
Sensors	2015	Sensors|15
IEEE/ACM Trans. Netw.	2015	IEEE/ACM Trans. Netw.|23
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|265
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|257
IEEE Journal on Selected Areas in Communications	2015	IEEE Journal on Selected Areas in Communications|33
IEEE Pervasive Computing	2015	IEEE Pervasive Computing|14
IEEE Trans. Multi-Scale Computing Systems	2015	IEEE Trans. Multi-Scale Computing Systems|1
IEEE Trans. Knowl. Data Eng.	2015	IEEE Trans. Knowl. Data Eng.|27
J. Network and Computer Applications	2015	J. Network and Computer Applications|50
Comput. J.	2015	Comput. J.|58
Wireless Networks	2015	Wireless Networks|21
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|260
Applied Mathematics and Computation	2015	Applied Mathematics and Computation|253
