:START_ID(Author)	:END_ID(Article)
Yang Shi 0002	5986
Tai Hong Yim	321
Ardi Imawan	11170
Ales Hamácek	5575
Sara Bernardini	1909
Mar González-Franco	16333
Saqib Iqbal	1002
Martijn Warnier	5493
Supun Kamburugamuve	4054
Li-Minn Ang	1826
Jacek Naruniec	6814
Yimin Liu	7295
Kurt de Vlam	3581
Yan Li 0023	9546
Zirong Tang	15342
Se Young Chun	18503
Chuangbo Hao	10193
Freddy Acosta Buenaño	9435
Jeehoon Kim	1190
Feng Cao	17572
Sergio Hernández	6154
Wei-Ping Zhu	2370
Ramani Routray	1013
Xiaobo Zhang	9224
Yuh-Show Tsai	6219
David Kempe 0001	9515
Arthit Thongtak	4384
Tengjiao He	5796
Georgia Koloniari	18195
B. G. D. A. Madhusanka	8734
Long Li 0005	16952
Kamel Boukhechba	2750
Sung Kwan Lim	13952
Yixing Huang	8724
See Gim Kerk	11614
Joydeep Chandra	17229
Natan Schechter	4231
Mohammed Ayad	11051
Blen M. Keneni	12914
Albert Quek	11558
Yves Cyuzuzo	10269
Ulf Kargen	10252
Guangyong Li	9399
Rosziati Ibrahim	14809
Marcin Lefik	13914
Katia Grenier	15326
Berend Jan van der Zwaag	3572
Takahiro Yano	9874
Martin Schmidt	19428
Tomoko Kohori	16766
Rongjie Yu	1809
Shih-Lung Shaw	17976
Qingshan Jiang	1860
Calum McNeil	7915
Himanshu Misra	233
Achintya K. Sarkar	8856
Mohamed Ben Brahim	8240
Kazuya Murao	15622
Gab-Su Seo	14870
Shitong Du	5127
Juan Antonio Tapia	7935
P. Muthuchidambaranathan	7049
Jun-Wook Lee	18422
Jalel Ben-Othman	245
Naveen Mergu	508
A. Kociubinski	11432
Juan C. Fraile	12282
Pinghua Lai	13625
Zhihua Xie	5042
Johannes Bauer 0004	8683
Jason Smith	4805
Giovanna Capparelli	10730
Mohammed Azahar Hussain	15469
Justin Brody	11187
Günther R. Raidl	11410
Pei-Yun Sabrina Hsueh	4425
Jane Li	18196
Hongbin Cai	15554
Zeping Zhan	2930
Deepak Mangal	18561
Florian Kühnlenz	8312
Motoichi Adachi	19403
Shaojun Cai	7474
Pyungwoo Yeon	2334
S. R. Alavizadeh	2729
Lukman Audah	6308
Rui Rodrigues 0001	5772
Wenle Bai	16225
Sarmad Ahmed Shaikh	13229
Kai Schubert	4020
Jintian Lu	10344
Yunwei Li	1517
Hua Zhang 0015	11903
Zhaohui Yang	11960
Hongseok Kim	4833
Marco Antonio Sotelo Monge	440
Ashish Kumar	12725
Irene Tedjo-Palczynski	10886
Mihail L. Sichitiu	17864
Ammar Benzaioua	19916
Anton Gulenko	4178
Xiaogang Xu	11019
Jie Deng	686
Dritan Nace	7180
Tey Zi Ming	3495
Chonglong Wu	7313
Silvia Gago	6394
Hossein Madadi	5668
Abd A. Baleg	7369
Sang Jun Kim	9598
Qian Gao 0003	15210
Venu Sonti	1701
Hidenori Watanave	1823
Merlijn Sebrechts	17884
Maurizio Valle	8758
Jin Song	2966
Xiao-Kun Du	4346
Aki Dote	2764
Carlo Guarnieri Calo Carducci	9577
Pinchao Liu	13926
Kailei Xue	12461
Marcus Radicke	1300
Xianlong Jiao	5987
Abdullah Alhalafi	14249
Christina Delimitrou	2939
Jinqiang Du	3758
Ron A. Hoebe	5428
Mitchel Resnick	6385
Gerardo Beruvides	10817
Prajwol Kumar Nakarmi	6729
Chia-Yu Hsu	3309
Zhi-Hao Xing	9769
Forrest Gasdia	12010
Markus Mueck	13729
Gerald Mader	6924
Linna Chen	15655
Reza Atashkhooei	15198
Vipin Kumar Pandey	17783
Florian Rudolf	16774
Carlo Cappello	218
Michael Vassallo	17760
Xiping Xu	8140
Chao Liu 0005	2831
Antonio de la Oliva	6891
Babak Farhangi	9439
Doo Il Park	6262
Dustin Peterson	4678
Madhu Sudan	150
Toto Saktioto	9709
Guillermo Robles	12071
Johan J. C. Gyselinck	18052
Thomas Ebner	13735
Chao Xu 0013	3634
Flávio E. A. Horita	729
Keiji Okada	14597
Dapeng Yang	7349
Natale Brogno	9144
Anthony Hoak	18585
Guoqiang Zhang	7036
Argus A. Dunca	15453
Alessio Bucaioni	19372
S. Srinivas	2635
Dian Liu	17126
Di Wang	18955
Paul Smith	7097
Amer Baghdadi	14748
Shahreen Shahjahan Psyche	1042
Gianfranco Forlani	3194
Teymoor Ghanbari	5958
Stanley Robert Holm	724
Yingwei Zhang	8160
Hua-An Zhao	2366
Hai-Tao Zheng	14367
Hsiao-Ting Jannis Su	6283
Xizhi Shi	6597
Marius Senftleben	10215
Yongzhi Yang	11709
G. Jeyakumar	2943
Dhanjoo N. Ghista	11070
Takahiro Uchiya	16674
Luiz Fernando Carvalho	16715
Zhen Xin	1198
Xiaocan Wang	4226
Shu-Tao Xia	6655
Katja Pasanen	15680
Anil Jangam	12861
Adriano A. G. Siqueira	3210
Sivaji Chakravorti	15493
Ravi Kiran Surapaneni	2409
Huihua Kenny Chiang	6721
Yeong Gon Kim	13850
Hidehiko Okubo	8043
Rodrigo César Pedrosa Silva	6731
Jaroslaw Krygier	9638
Simon Armour	2449
Amanda Gilvin	18189
Marcello Andres Gómez Maureira	8765
S. Dutta	14769
Fernando Pinhabel Marafao	11481
Sarah Diefenbach	12577
Donghua Pan	6716
Gertrude Fomo	2725
Bitan Bandyopadhyay	8483
Danda Pani Paudel	7432
Rolf Haenni	5734
Jonas Koko	7642
Yu Gu 0011	15855
Xuxiang Chen	10145
Maribeth Gandy	16728
Lua Perimal-Lewis	8489
Nishant Nikam	6596
Min Wang 0005	8993
Albert Marzàbal	11359
Guillermo Robles	6334
Michael Pflanz	7366
Ali Molaei	13196
Masato Suetake	1790
Alessio De Rango	8689
Seiichi Tade	16467
Enrique Cabrera	2265
Yining Liu	3204
Khyati N. Patel	4522
Giuseppe Greco 0001	11440
George Chennell	11900
Hongli Li	2989
Rafaela S. Andre	6607
Jianghai Liao	14687
Juan Heredia Juesas	14617
Kai Han	15418
Yuran Zeng	8391
Bor-Shyh Lin	12553
Fei Han 0004	19435
Chaowei Yuan	5657
Jianmei Guo	3477
Kwang-Won Koh	362
Mostafa Elzoghby	9492
Tom Arjannikov	9151
Quentin Tabart	6437
Jorge O. Estima	3126
Osnat Keren	3264
Beom Seok Jeon	19457
Christian Chancel	4022
Michael V. Basin	17944
Wai Yee Yeong	6571
Peng Luo	14481
Marisa P. Coene	18652
Yushu Zhang	4142
Manuel de Jesús Nandayapa Alfaro	14712
Xiangrong Shen	4843
Shulei Sun	12397
Shuheng Chen	18107
Vinay Bankey	9268
Warren P. Snapp	10867
Zhiming Xiao	4102
Georgios I. Papadimitriou	11108
Daniel Estrada	3376
Zhuo Li	6399
In Kee Kim	3895
Jie Yin	13426
Abdulkadir Iyyaka Audu	8179
Hiroshi Ohta	17347
Maud Marchal	18758
Ozan Gulbudak	1372
Marston Héracles Domingues Franceschini	4294
Antonio Hurtado	8658
Bowen Wu	2193
Jun Wan 0003	12623
Lasse Thostrup	18411
Martí Salvador	4415
Pengfei He	3327
Santu Bag	15425
Xiaoli Chen	2489
Dick Hogeweij	14174
Kasun Thejitha Karunanayaka	13153
Satohiro Tajima	19669
Zhen Yang	15815
Shunren Xia	18539
Mohammed Basheri	11628
Wufan Chen	8892
Sergey Golik	9934
Yuanhao Li	3330
Songge Xiao	2768
Zhaoli Yan	10323
Shunli Zhang	11074
Ewa Nowakowska	1779
Yoann Foquet	4616
Koji Kondo	12992
Joan Navarro	6140
Anant Agrawal	7371
Sang-Su Lee	12393
Kazunari Morimoto	12801
He Yin	9087
Niccolò Buffi	10218
Xuzhi Lai	9607
Xing Xie 0001	13145
Bang Chul Jung	15627
Ui-Suk Suh	17284
Shaun K. Kane	134
Bhaskar Sen	17716
Xuehong Chen	17746
Marco Abbatangelo	13132
Shintaro Fujii	14468
Liang Hu 0001	2919
Hirley Alves	17026
Peraphon Sophatsathit	8994
Adrian Trejo Nuñez	14729
Xiang Shi	19354
Michael Urbanek	19016
C. Chantre	2766
Yunhe Wang	18464
Jau-Chuan Ke	9652
Sergio Hernández	18172
Michal Karczewski	11727
Ying Chang	9002
Ian Schillebeeckx	9220
Jianhua Zou	3624
Zhigang Lu	13834
Yaguo Lei	17563
Jens Proske	14950
Eman Ahmed	3042
Raphaëlle Chaine	15207
Tao Huang 0005	1317
Chung-Hong Lee	3240
Anne Preston	5351
Limin Jiang	11719
Alejandro Solís	10805
Hyeonkyeong Yang	14598
William Pourmajidi	19765
Leyre Pérez-Álvarez	15439
Alena Jonásová	8249
Denisse Soto	15528
Gook Hwa Cho	11499
Nizam Omar	17684
Wan Baihaqi Wan Ab Rahman	10108
Janki Dodiya	15922
Miguel Ángel Satorre Aznar	8513
James Y. Xu	4477
Daniel-André Duecker	16818
Rinkaj Goyal	5167
Hailin Xiao	14396
Anders Schlichtkrull	19761
Hebo Gong	15070
Pavel Ponomarev	3541
Huan Tang	4665
Linghe Kong	4390
Mohammad Inayatullah Babar	13131
Renchu Guan	11445
Bryce Tyson	8612
Jae Hyeon Park	13175
Kang Liu 0009	15923
Arkadiusz Jakubowski	5389
Xiaobo Qu	19197
Massimo Condoluci	3355
Juan Robledillo-Román	7189
Arun Yadav	1373
Fernando Martínez-Plumed	8555
Ana Reyna	9375
Hong-Rui Sun	236
Isabel Praça	11674
Ziguang Lu	18040
Anca Sailer	11247
Antoni Arias	4568
Guoyong Dai	12649
Xiaolong Deng	12377
Wenkai Hu	10024
Christophe Pasquier	10854
Vittorio M. N. Passaro	11709
Tedjani Mesbahi	10474
Kitsuchart Pasupa	15267
Hongwei Lin	10762
Hau T. Ngo	6148
Dan Liu	12368
Mahnaz M. Abdi	5901
Arthur Edwards Block	5602
Autumn Pratt	16344
Adalberto L. Simeone	12778
Chih-Yung Chang	3000
Susan Hwang	4937
Takayuki Adachi	19196
Juying Chen	12609
Chun-Lung Chen	4139
Chung-Hung Tsai	15210
Antonio Bandera	10623
David Fofi	5108
Stefan Galla	6198
Jichao Wang	19857
Wan-I Lee	15905
Rinkaj Goyal	1949
Ahmad Shtaiyat	11969
Andrei Mihaila	10682
Michel Basset	9590
Khim Chhantyal	3058
N. Haddad	3579
Johannes Kathan	2583
Liang Ma	11385
Dong-Wook Jung	3650
Young-Joon Kim	11669
Ali Al Bataineh	19820
Jianguo Wang	7850
Mohamed Shehab	12184
Byung-Kwon Lee	11329
Song Jiang	17842
Shaowei Ding	1787
Stephen Forshaw	19373
Andoni Arruti	18883
Longxiang Yang	2026
Ahmad Suliman	18503
Amsi Vazquez-Perez	19723
Victoria Moreno	6372
Jiaqing Wang	18144
Paulo Portugal	11382
Mitchell Harrop	11325
Shuyu Zhang	19495
Hyunjoong Cho	5163
Keiji Miura	5474
Melanie Ducoffe	10712
Sylvain Haas	12223
Omar Y. Al-Jarrah	14424
Claudio Vairo	7734
Haoqing Li	4258
Markus Brandstetter	18717
Ygo N. Batista	12031
Min Chen	15428
Biswendu Chatterjee	10378
Gad A. Pinhasi	4971
Kenta Imai	5164
Tianjie Xu	331
Anastasios Deligiannis	9791
Luis Garcia-Hernandez	5638
Bin Li 0011	15516
Michael C. Wimberly	19619
Bing Dong	11229
Yuri Sylvester	4399
Xiaoguang Mei	13359
Dong Sun Park	17851
X. Y. Ma	4763
Mingchun Liu	18894
Syed Saqlain Ali	8864
Sanne Sulejmani	13577
Jianwan Ding	9629
Mario Vasile-Cabezas	9060
Xiaowei Liu 0002	2611
Luciano Telesca	8298
Yung-Fa Chou	3936
Yanjiang Wang	14988
Daniel Peroni	13736
Hong Yue	3094
Abdel Razik Sebak	3614
Marko A. Gecic	8668
Jinzhu Zhang	13867
Ignacio Labrador	11044
Suzanne Low	13726
An-Shen Siao	18662
Philip Davies	12358
Maamoun Abdul Fattah	11584
X. Y. Tian	13585
Di Wang	4266
Néstor Lucas Martínez	10042
Muhammad Jawad Ikram	18131
Paloma Díaz	9616
Emanuele Ruffaldi	979
Anil Mishra	17321
Libo Li	14124
R. Simon Sherratt	7174
Mingyang Cui	13088
Marcelo Antonio Marotta	12196
Lei Qi	13698
Longtao Chen	9642
Shumin Cao	13980
Benoit Gosselin	3791
Jaime Ruiz Alonso	463
Christophe Pasquier	3974
Diwei He	11341
Marcel A. M. Hendrix	16422
Jakub Dostal	884
Hai Wang 0003	14011
Andoni Beriain	15088
Julio Gómez-Herrero	12102
Wei Wang 0078	14919
Luis M. Miranda	3303
Muhammad Farooq	11441
Mukesh Singhal	531
Ritesh Seth	8963
Sergi Gorreta	3021
Yong Zhu	7707
Vikram Chandrashekar	17461
Jinhuan Zhou	8186
Zhou Fang	19835
Cong-Zhi Zhao	6699
