:START_ID(Volume)	pages	:END_ID(Article)
Appl. Algebra Eng. Commun. Comput.|30	127-134	1
Appl. Algebra Eng. Commun. Comput.|30	135-145	2
Appl. Algebra Eng. Commun. Comput.|30	161-174	3
Appl. Algebra Eng. Commun. Comput.|30	17-49	4
Appl. Algebra Eng. Commun. Comput.|30	107-125	5
Appl. Algebra Eng. Commun. Comput.|30	93-106	6
Appl. Algebra Eng. Commun. Comput.|30	147-160	7
Appl. Algebra Eng. Commun. Comput.|30	75-92	8
Appl. Algebra Eng. Commun. Comput.|30	1-16	9
Appl. Algebra Eng. Commun. Comput.|30	175-184	10
Appl. Algebra Eng. Commun. Comput.|30	51-74	11
IEEE Access|7	1627-1646	12
IEEE Access|7	6866-6876	13
IEEE Access|7	9164-9180	14
IEEE Access|7	11775-11784	15
IEEE Access|7	4204-4218	16
IEEE Access|7	4327-4337	17
IEEE Access|7	9181-9190	18
IEEE Access|7	3694-3703	19
IEEE Access|7	3855-3881	20
IEEE Access|7	17917-17926	21
IEEE Access|7	17098-17110	22
IEEE Access|7	9586-9597	23
IEEE Access|7	11020-11028	24
IEEE Access|7	17067-17081	25
IEEE Access|7	13396-13410	26
IEEE Access|7	131-147	27
IEEE Access|7	13758-13780	28
IEEE Access|7	13882-13900	29
IEEE Access|7	12947-12958	30
IEEE Access|7	8495-8507	31
IEEE Access|7	2624-2632	32
IEEE Access|7	1602-1616	33
IEEE Access|7	10844-10856	34
IEEE Access|7	14233-14245	35
IEEE Access|7	2978-2985	36
IEEE Access|7	14099-14111	37
IEEE Access|7	14501-14512	38
IEEE Access|7	7082-7092	39
IEEE Access|7	2828-2855	40
IEEE Access|7	16168-16183	41
IEEE Access|7	10653-10662	42
IEEE Access|7	14246-14255	43
IEEE Access|7	9540-9557	44
IEEE Access|7	14883-14893	45
IEEE Access|7	10515-10522	46
IEEE Access|7	16979-16990	47
IEEE Access|7	3500-3511	48
IEEE Access|7	6337-6352	49
IEEE Access|7	13693-13703	50
IEEE Access|7	4167-4183	51
IEEE Access|7	1520-1531	52
IEEE Access|7	12879-12887	53
IEEE Access|7	7442-7447	54
IEEE Access|7	6519-6544	55
IEEE Access|7	9476-9489	56
IEEE Access|7	1486-1501	57
IEEE Access|7	5819-5833	58
IEEE Access|7	5896-5904	59
IEEE Access|7	11397-11409	60
IEEE Access|7	8570-8581	61
IEEE Access|7	10691-10717	62
IEEE Access|7	13608-13621	63
IEEE Access|7	11707-11721	64
IEEE Access|7	10745-10753	65
IEEE Access|7	17634-17643	66
IEEE Access|7	14653-14670	67
IEEE Access|7	7481-7501	68
IEEE Access|7	10254-10262	69
IEEE Access|7	6473-6492	70
IEEE Access|7	17772-17779	71
IEEE Access|7	6661-6678	72
IEEE Access|7	3224-3234	73
IEEE Access|7	498-516	74
IEEE Access|7	17896-17906	75
IEEE Access|7	1139-1148	76
IEEE Access|7	7194-7205	77
IEEE Access|7	15367-15374	78
IEEE Access|7	8858-8864	79
IEEE Access|7	12705-12713	80
IEEE Access|7	4664-4675	81
IEEE Access|7	4726-4734	82
IEEE Access|7	3062-3073	83
IEEE Access|7	17256-17262	84
IEEE Access|7	15563-15572	85
IEEE Access|7	3635-3643	86
IEEE Access|7	7397-7408	87
IEEE Access|7	1224-1233	88
IEEE Access|7	9667-9677	89
IEEE Access|7	9324-9339	90
IEEE Access|7	14112-14123	91
IEEE Access|7	14779-14790	92
IEEE Access|7	1888-1896	93
IEEE Access|7	10718-10733	94
IEEE Access|7	1736-1751	95
IEEE Access|7	4586-4597	96
IEEE Access|7	12557-12574	97
IEEE Access|7	13856-13866	98
IEEE Access|7	4391-4399	99
IEEE Access|7	14894-14907	100
