volumeID:ID(Volume)
IEEE Systems Journal|9
IEEE Trans. Industrial Informatics|11
Appl. Algebra Eng. Commun. Comput.|29
J. Network and Computer Applications|50
IEEE Pervasive Computing|14
Wireless Communications and Mobile Computing|15
IEEE Trans. Communications|63
IEEE Trans. Dependable Sec. Comput.|12
Sensors|18
IEEE Trans. Intelligent Transportation Systems|16
Applied Mathematics and Computation|260
IEEE Signal Process. Lett.|22
Applied Mathematics and Computation|256
Wireless Networks|21
IET Information Security|9
IEEE Trans. Multi-Scale Computing Systems|1
IEEE Trans. Human-Machine Systems|45
IEEE Trans. Industrial Electronics|65
Applied Mathematics and Computation|258
Sensors|15
IEEE Trans. Services Computing|8
Applied Mathematics and Computation|262
IEEE Access|5
IEEE Trans. Circuits Syst. Video Techn.|25
IEEE Internet Computing|19
Applied Mathematics and Computation|270
IEEE Access|3
IEEE Computer|48
Applied Mathematics and Computation|252
Applied Mathematics and Computation|255
IEEE/ACM Trans. Comput. Biology Bioinform.|12
Applied Mathematics and Computation|266
IEEE Access|7
Applied Mathematics and Computation|250
IEEE Trans. Information Forensics and Security|10
IEEE/ACM Trans. Netw.|23
IEEE Trans. Automation Science and Engineering|12
Sensors|16
Applied Mathematics and Computation|254
IEEE Trans. Wireless Communications|14
IEEE Access|6
Applied Mathematics and Computation|268
IEEE Internet of Things Journal|2
IEEE Trans. Industrial Electronics|63
IEEE Trans. VLSI Syst.|23
IEEE Trans. Industrial Electronics|62
IEEE Trans. Emerging Topics Comput.|3
Appl. Algebra Eng. Commun. Comput.|30
Applied Mathematics and Computation|264
Appl. Algebra Eng. Commun. Comput.|28
Appl. Algebra Eng. Commun. Comput.|27
IEEE Trans. Network and Service Management|12
Applied Mathematics and Computation|271
IEEE Communications Letters|19
IEEE Signal Process. Mag.|32
IEEE Trans. Comput. Social Systems|2
IEEE Trans. Cogn. Comm. &amp; Networking|1
IEEE Network|29
IEEE Trans. Med. Imaging|34
IEEE Trans. Signal Processing|63
Applied Mathematics and Computation|257
IEEE Cloud Computing|2
IEEE Trans. Systems, Man, and Cybernetics - Systems|45
Applied Mathematics and Computation|269
IEEE Trans. Industrial Electronics|64
IEEE Trans. Vehicular Technology|64
Applied Mathematics and Computation|253
IEEE Trans. Image Processing|24
IET Communications|9
IEEE Trans. on Circuits and Systems|62-II
IEEE Communications Surveys and Tutorials|17
IEEE Trans. Information Theory|61
IEEE Trans. Multimedia|17
IEEE Trans. Aerospace and Electronic Systems|51
IEEE Access|4
IEEE Trans. on CAD of Integrated Circuits and Systems|34
IEEE Trans. Parallel Distrib. Syst.|26
Applied Mathematics and Computation|267
Applied Mathematics and Computation|261
Applied Mathematics and Computation|259
IEEE Trans. Knowl. Data Eng.|27
IEEE Communications Magazine|53
IEEE Trans. Consumer Electronics|61
IEEE Journal on Selected Areas in Communications|33
Comput. J.|58
IEEE Wireless Commun.|22
IEEE Wireless Commun. Letters|4
IEEE Consumer Electronics Magazine|4
Applied Mathematics and Computation|265
IEEE Trans. Mob. Comput.|14
Applied Mathematics and Computation|263
IEEE Trans. Computers|64
Sensors|17
Applied Mathematics and Computation|251
