:START_ID(Author)	corresponding_author	:END_ID(Article)
Chimere S. Anabanti	Yes	1
Gook Hwa Cho	Yes	2
Byeonghwan Go	No	2
Chang Heon Kim	No	2
Namhun Koo	No	2
Soonhak Kwon	No	2
Yun Gao	Yes	3
Jian Gao 0001	No	3
Fang-Wei Fu	No	3
Joris van der Hoeven	Yes	4
Duc-Phong Le	Yes	5
Nadia El Mrabet	No	5
Safia Haloui	No	5
Chik How Tan	No	5
Fei Li 0010	Yes	6
Yang Yan	No	6
Qiuyan Wang	No	6
Tongjiang Yan	No	6
Ahmed Mameri	Yes	7
Amar Aissani	No	7
Xiaoqiang Wang	Yes	8
Dabin Zheng	No	8
Hongwei Liu	No	8
Shanding Xu	Yes	9
Xiwang Cao	No	9
Guangkui Xu	No	9
Chunming Tang	No	9
Wenqin Zhang	Yes	10
Haode Yan	No	10
Honglei Wei	No	10
Krzysztof Ziemianski	Yes	11
Fatima Abdallah	Yes	12
Shadi Basurra	No	12
Mohamed Medhat Gaber	No	12
Ayman S. Abdel-Khalik	Yes	13
Ragi A. Hamdy	No	13
Ahmed M. Massoud	No	13
Shehab Ahmed	No	13
Mahmoud E. Abdelgelil	Yes	14
Hlaing Minn	No	14
Ahmad N. Abdulfattah	Yes	15
Charalampos C. Tsimenidis	No	15
Bessam Z. Al-Jewad	No	15
Alex Yakovlev	No	15
Sarder Fakhrul Abedin	Yes	16
Anupam Kumar Bairagi	No	16
Md. Shirajum Munir	No	16
Nguyen H. Tran	No	16
Choong Seon Hong	No	16
Khalid Abidi	Yes	17
Ian Postlethwaite	No	17
Yousef Ali Abohamra	Yes	18
M. Reza Soleymani	No	18
Yousef R. Shayan	No	18
Menatalla Abououf	Yes	19
Shakti Singh	No	19
Hadi Otrok	No	19
Rabeb Mizouni	No	19
Anis Ouali	No	19
Khalid Abualsaud	Yes	20
Tarek M. Elfouly	No	20
Tamer Khattab	No	20
Elias Yaacoub	No	20
Loay Sabry-Ismaïl	No	20
Mohamed Hossam Ahmed	No	20
Mohsen Guizani	No	20
Hussein Abulkasim	Yes	21
Hanan Alsuqaih	No	21
Walaa Hamdan	No	21
Safwat Hamad	No	21
Ahmed Farouk	No	21
Atefeh Mashatan	No	21
Shohini Ghose	No	21
Farah Adeeba	Yes	22
Sarmad Hussain	No	22
Nurudeen A. Adegoke	Yes	23
Saddam Akber Abbasi	No	23
Adam N. H. Smith	No	23
Marti J. Anderson	No	23
Matthew D. M. Pawley	No	23
Tariq Ahamed Ahanger	Yes	24
Abdullah Aljumah	No	24
Masood Ahmad	Yes	25
Abdul Hameed	No	25
Ataul Aziz Ikram	No	25
Ishtiaq Wahid	No	25
Furkan Ahmad	Yes	26
Asfar Ali Khan	No	26
Qasim Khan	No	26
M. D. Rashid Hussain	No	26
Ashraf Bani Ahmad	Yes	27
Chia Ai Ooi	No	27
Dahaman Ishak	No	27
Jiashen Teh	No	27
Bestoun S. Ahmed	Yes	28
Miroslav Bures	No	28
Karel Frajták	No	28
Tomás Cerný	No	28
Abbas Ahmed	Yes	29
Panagiotis Botsinis	No	29
Seung Hwan Won	No	29
Lie-Liang Yang	No	29
Lajos Hanzo	No	29
Bummo Ahn	Yes	30
Woonjae Choi	No	30
Mark P. Ottensmeyer	No	30
Hoeryong Jung	No	30
Qurat ul Ain Akram	Yes	31
Sarmad Hussain	No	31
Bahaa Al-Juboori	Yes	32
Jiafeng Zhou	No	32
Yi Huang	No	32
Muaad Naser Hussein	No	32
Ahmed Al-Tahmeesschi	No	32
William J. Otter	No	32
Dirk Klugmann	No	32
Stepan Lucyszyn	No	32
Obada Al-Khatib	Yes	33
Wibowo Hardjawana	No	33
Branka Vucetic	No	33
Jaber Al-Khori	Yes	34
Galymzhan Nauryzbayev	No	34
Mohamed M. Abdallah 0001	No	34
Mounir Hamdi	No	34
Ala&apos;a A. Al-Omoush	Yes	35
AbdulRahman A. Al-Sewari	No	35
Hammoudeh S. Alamri	No	35
Kamal Z. Zamli	No	35
Waleed Mugahed Al-Rahmi	Yes	36
Noraffandy Yahaya	No	36
Mahdi M. Alamri	No	36
Nada Ali Aljarboa	No	36
Yusri Bin Kamin	No	36
Fahad Abdullah Moafa	No	36
Anas A. Al-Roubaiey	Yes	37
Tarek R. Sheltami	No	37
Ashraf S. Hasan Mahmoud	No	37
Khaled Salah	No	37
Fadi Al-Turjman	Yes	38
Leonardo Mostarda	No	38
Enver Ever	No	38
Ahmed Darwish	No	38
Naziha Shekh Khalil	No	38
Ghada Al-mahbashi	Yes	39
Mohd Salmi Md Noorani	No	39
Majed A. AlRubaian	Yes	40
Muhammad Al-Qurishi	No	40
Atif Alamri	No	40
Mabrook Al-Rakhami	No	40
Mohammad Mehedi Hassan	No	40
Giancarlo Fortino	No	40
Ahmed Alagha	Yes	41
Shakti Singh	No	41
Rabeb Mizouni	No	41
Anis Ouali	No	41
Hadi Otrok	No	41
Masoud Alajmi	Yes	42
Khalfalla Awedat	No	42
Almabrok Essa	No	42
Fawaz Alassery	No	42
Osama S. Faragallah	No	42
Kamalova Albina	Yes	43
Suk Gyu Lee	No	43
Habtamu Zegeye Alemu	Yes	44
Junhong Zhao	No	44
Feng Li 0006	No	44
Wei Wu 0010	No	44
Antonio Alex-Amor	Yes	45
Adrian Tamayo-Dominguez	No	45
Angel Palomares-Caballero	No	45
Jose M. Fernandez-Gonzalez	No	45
Pablo Padilla	No	45
Juan F. Valenzuela-Valdés	No	45
Antonio Palomares	No	45
Abdullah Alhalafi	Yes	46
Amer AlGhadhban	No	46
Basem Shihada	No	46
